Zone,Nom,Catégorie,Statut,Adresse,Latitude,Longitude,Image
Ancienne Medina,La Bodega,Restaurant,Formel,"Rue Allal Ben Abdellah, Casablanca",33.5952195,-7.6115725,icons/restaurant.png
Ancienne Medina,La Sqala,Restaurant,Formel,"Boulevard des Almohades, Casablanca",33.6028481,-7.619212,icons/restaurant.png
Assoukhour Assawda,Pizza Hut,Restaurant,Formel,Pizza Hut,33.5928474,-7.597267,icons/restaurant.png
Palmiers,Parapharmacie sans nom,Parapharmacie,Formel,Parapharmacie sans nom,33.5821087,-7.6265575,icons/pharmacy.png
Californie,Marjane,Supermarché,Formel,Marjane,33.5446703,-7.639958,icons/supermarket.png
Gauthier,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,33.5896864,-7.6265742,icons/restaurant.png
Bourgogne,Chez Pépé,Restaurant,Formel,Chez Pépé,33.595533,-7.6454829,icons/restaurant.png
Dar Bouazza,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,33.5278671,-7.7940568,icons/convenience.png
Dar Bouazza,Café sans nom,Café,Formel,Café sans nom,33.5357372,-7.7936277,icons/cafe.png
Dar Bouazza,BIM,Supérette / Mini-market,Formel,BIM,33.5339039,-7.7936384,icons/convenience.png
Arrondissement d'Aïn Sebaâ,khalid ibn oualid,Parapharmacie,Formel,khalid ibn oualid,33.6000497,-7.5450991,icons/pharmacy.png
Ancienne Medina,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,33.6004234,-7.6172703,icons/convenience.png
Ancienne Medina,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,33.5999101,-7.6174265,icons/restaurant.png
Mers Sultan,Au 19 Heure,Café,Formel,Au 19 Heure,33.5827625,-7.6112767,icons/cafe.png
Préfecture d'arrondissement de Hay Hassani,pharmacie wifak,Parapharmacie,Formel,pharmacie wifak,33.5598715,-7.6919901,icons/pharmacy.png
Préfecture d'arrondissement de Hay Hassani,Pharmacie Ahmed,Parapharmacie,Formel,Pharmacie Ahmed,33.5574213,-7.6902715,icons/pharmacy.png
Dar Bouazza,Sunset cafe,Café,Formel,Sunset cafe,33.5339844,-7.7940679,icons/cafe.png
Assoukhour Assawda,Maeva,Café,Formel,Maeva,33.5957256,-7.5933532,icons/cafe.png
Riviera,Parapharmacie sans nom,Parapharmacie,Formel,Parapharmacie sans nom,33.5545488,-7.6399358,icons/pharmacy.png
L'Oasis,Dalal,Parapharmacie,Formel,Rue de Vanneaux,33.5545398,-7.6360392,icons/pharmacy.png
Assoukhour Assawda,Antouki,Boulangerie,Formel,Antouki,33.5937563,-7.5970471,icons/bakery.png
Assoukhour Assawda,Café sans nom,Café,Formel,Café sans nom,33.5924515,-7.5954887,icons/cafe.png
Assoukhour Assawda,Café sans nom,Café,Formel,Café sans nom,33.5923666,-7.595596,icons/cafe.png
Assoukhour Assawda,Café sans nom,Café,Formel,Café sans nom,33.594621,-7.5934475,icons/cafe.png
Assoukhour Assawda,Sampione,Café,Formel,Sampione,33.5928563,-7.5971409,icons/cafe.png
Assoukhour Assawda,Café sans nom,Café,Formel,Café sans nom,33.5926705,-7.5961807,icons/cafe.png
Assoukhour Assawda,Mahboub محبوب,Restaurant,Formel,Mahboub محبوب,33.5921991,-7.5923586,icons/restaurant.png
Assoukhour Assawda,Amoud,Boulangerie,Formel,Amoud,33.5938837,-7.596119,icons/bakery.png
Assoukhour Assawda,Snack Essaada,Restaurant,Formel,"Boulevard Émile Zola, Casablanca",33.5936543,-7.5974637,icons/restaurant.png
Assoukhour Assawda,Paradisio,Restaurant,Formel,Boulevard Émile Zola,33.5938278,-7.5969183,icons/restaurant.png
Assoukhour Assawda,Café sans nom,Café,Formel,Café sans nom,33.5920315,-7.5973448,icons/cafe.png
Assoukhour Assawda,Café sans nom,Café,Formel,Café sans nom,33.592036,-7.5975808,icons/cafe.png
Assoukhour Assawda,Pharmacie du conseil,Parapharmacie,Formel,Boulevards Mohammed 5,33.5920672,-7.5950193,icons/pharmacy.png
Assoukhour Assawda,Café sans nom,Café,Formel,Café sans nom,33.5916786,-7.5917569,icons/cafe.png
Assoukhour Assawda,Café sans nom,Café,Formel,Café sans nom,33.5921344,-7.6002863,icons/cafe.png
Assoukhour Assawda,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,33.5905168,-7.5955656,icons/restaurant.png
Assoukhour Assawda,Café sans nom,Café,Formel,Café sans nom,33.5909904,-7.5975933,icons/cafe.png
Assoukhour Assawda,Café sans nom,Café,Formel,Café sans nom,33.5915356,-7.5918427,icons/cafe.png
Assoukhour Assawda,Café sans nom,Café,Formel,Café sans nom,33.5914194,-7.59195,icons/cafe.png
Assoukhour Assawda,Venezia Ice,Café,Formel,Venezia Ice,33.5944312,-7.5954315,icons/cafe.png
Assoukhour Assawda,Parapharmacie sans nom,Parapharmacie,Formel,Parapharmacie sans nom,33.5941095,-7.5965151,icons/pharmacy.png
Assoukhour Assawda,Café sans nom,Café,Formel,Café sans nom,33.5906061,-7.595469,icons/cafe.png
Assoukhour Assawda,Café sans nom,Café,Formel,Café sans nom,33.5910262,-7.5924971,icons/cafe.png
Assoukhour Assawda,Kiosque sans nom,Kiosque,Informel,Kiosque sans nom,33.5911175,-7.5924051,icons/kiosk.png
Assoukhour Assawda,Acima,Supermarché,Formel,Boulevard Emile Zola,33.5945384,-7.595292,icons/supermarket.png
Assoukhour Assawda,Alhana,Café,Formel,Alhana,33.5900564,-7.5931006,icons/cafe.png
Assoukhour Assawda,Café de la gare,Café,Formel,Café de la gare,33.5899952,-7.5905952,icons/cafe.png
Assoukhour Assawda,Café sans nom,Café,Formel,Café sans nom,33.5909815,-7.591435,icons/cafe.png
Assoukhour Assawda,Bellevue,Café,Formel,Bellevue,33.5906508,-7.5928083,icons/cafe.png
Riviera,Parapharmacie sans nom,Parapharmacie,Formel,Parapharmacie sans nom,33.5637163,-7.6355448,icons/pharmacy.png
Sour Jdid,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,33.5966384,-7.628025,icons/convenience.png
Sour Jdid,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,33.596692,-7.6297201,icons/convenience.png
Sour Jdid,Boulangerie sans nom,Boulangerie,Formel,Boulangerie sans nom,33.5971969,-7.6284702,icons/bakery.png
Sour Jdid,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,33.5966429,-7.6296397,icons/convenience.png
Sour Jdid,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,33.5960083,-7.627848,icons/convenience.png
Sour Jdid,Jus Bordeaux,Café,Formel,Jus Bordeaux,33.5969487,-7.6279619,icons/cafe.png
Sour Jdid,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,33.5971612,-7.628353,icons/convenience.png
Sour Jdid,Parapharmacie sans nom,Parapharmacie,Formel,Parapharmacie sans nom,33.5959681,-7.6276825,icons/pharmacy.png
Sour Jdid,Monsieur Brochette,Restaurant,Formel,Monsieur Brochette,33.5949185,-7.6271531,icons/restaurant.png
Sour Jdid,Mamelouk Café,Restaurant,Formel,Mamelouk Café,33.5962988,-7.6304773,icons/restaurant.png
Sour Jdid,Café Splendeur,Café,Formel,Boulevard Ziraoui شارع الزيراوي,33.5962469,-7.6313052,icons/cafe.png
Sour Jdid,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,33.5965848,-7.6302949,icons/convenience.png
Arrondissement d'Anfa,Marjane,Supermarché,Formel,Marjane,33.5746919,-7.7081046,icons/supermarket.png
Ain Diab,Carrefour Market,Supermarché,Formel,Carrefour Market,33.5771567,-7.6741813,icons/supermarket.png
Préfecture d'arrondissement de Hay Hassani,boulangerie Itrane,Boulangerie,Formel,boulangerie Itrane,33.5766048,-7.6732212,icons/bakery.png
راسين,Luigi,Restaurant,Formel,Rue Ibnou Yaala Al Ifrani زنقة إبن يلعى الإفراني,33.5882356,-7.6398452,icons/restaurant.png
راسين,Supermarché Mamoun,Supermarché,Formel,Rue Normandie زنقة نورماندي,33.5879309,-7.6393934,icons/supermarket.png
Arrondissement d'Aïn-Chock,Restaurant grillades au top,Café,Formel,Restaurant grillades au top,33.5111856,-7.6105369,icons/cafe.png
Bouskoura,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,33.5101793,-7.6077293,icons/convenience.png
Bouskoura,Café sans nom,Café,Formel,Café sans nom,33.5102423,-7.6078169,icons/cafe.png
Arrondissement d'Aïn-Chock,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,33.5110067,-7.6104565,icons/convenience.png
Arrondissement d'Aïn-Chock,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,33.5109396,-7.6103706,icons/restaurant.png
Bouskoura,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,33.5100315,-7.6077605,icons/restaurant.png
Ancienne Medina,Alba Fast Food,Restaurant,Formel,Alba Fast Food,33.5930113,-7.6171532,icons/restaurant.png
Ancienne Medina,Cafe Black Stone,Café,Formel,Cafe Black Stone,33.5951697,-7.610295,icons/cafe.png
Cité Plateau,Café Ghandi,Café,Formel,Café Ghandi,33.5656336,-7.6379599,icons/cafe.png
Arrondissement de Sidi Belyout,Don Camilo,Restaurant,Formel,"Rue Abou Rakrak, Casablanca",33.587649,-7.612959,icons/restaurant.png
Ancienne Medina,Rick's Cafe,Restaurant,Formel,"Boulevard Sour Jdid, Casablanca",33.604995,-7.620406,icons/restaurant.png
Ancienne Medina,Bonne mie,Boulangerie,Formel,Boulevard de la Liberté,33.5868905,-7.6118985,icons/bakery.png
Sour Jdid,ماكدونالدز,Restaurant,Formel,"Boulevard Ziraoui, Casablanca",33.594793,-7.6331748,icons/restaurant.png
Sour Jdid,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,33.5957716,-7.6275422,icons/convenience.png
Val d'Anfa,Marjane Market,Supermarché,Formel,Boulevard de Bourgogne شارع بوركون,33.594818,-7.6515874,icons/supermarket.png
راسين,Carrefour Gourmet,Supermarché,Formel,Avenue Ahmed Charci شارع أحمد الشرسي,33.5908121,-7.6462218,icons/supermarket.png
راسين,Paul,Boulangerie,Formel,Avenue Moulay Rachid شارع مولاي رشيد,33.5880534,-7.6453209,icons/bakery.png
Bourgogne,Parapharmacie sans nom,Parapharmacie,Formel,Parapharmacie sans nom,33.6034834,-7.6424795,icons/pharmacy.png
El Hank,Oussama,Boulangerie,Formel,Oussama,33.5929622,-7.6395733,icons/bakery.png
Habous ⵍⵃⵓⴱⵓⵙ الحبوس,Pâtisserie Bennis,Boulangerie,Formel,Rue du Fqih al Abbas,33.5779601,-7.6054449,icons/bakery.png
Arrondissement de Sidi Belyout,Restaurant du Port,Restaurant,Formel,Restaurant du Port,33.6015279,-7.6144679,icons/restaurant.png
Assoukhour Assawda,Hachmi,Supermarché,Formel,Hachmi,33.6022232,-7.5788395,icons/supermarket.png
Dar Bouazza,Natty Natty,Café,Formel,Natty Natty,33.527602,-7.8065487,icons/cafe.png
Anfa Supérieur,Carrefour,Supermarché,Formel,Boulevard de la Corniche شارع الكورنيش,33.5981369,-7.6644676,icons/supermarket.png
Sour Jdid,Lugano Glacier,Café,Formel,Lugano Glacier,33.5942402,-7.6376222,icons/cafe.png
Arrondissement d'Aïn-Chock,Pharmacie al Adarissa,Parapharmacie,Formel,Pharmacie al Adarissa,33.5111741,-7.6482559,icons/pharmacy.png
Arrondissement d'Aïn-Chock,Café Galatina,Café,Formel,Café Galatina,33.5100873,-7.6507181,icons/cafe.png
Sidi Maârouf,caffé Grandi,Café,Formel,caffé Grandi,33.5200648,-7.651763,icons/cafe.png
Sidi Maârouf,Valencia,Café,Formel,Valencia,33.5289904,-7.6487632,icons/cafe.png
Sidi Maârouf,Havana,Café,Formel,Havana,33.5285902,-7.6489134,icons/cafe.png
Arrondissement de Sidi Othmane,Abbatoir,Épicerie,Informel,Abbatoir,33.5479159,-7.5502365,icons/greengrocer.png
Mohammédia,Café sans nom,Café,Formel,Café sans nom,33.696202,-7.3878652,icons/cafe.png
Mohammédia,Café sans nom,Café,Formel,Café sans nom,33.6963046,-7.3880422,icons/cafe.png
Mohammédia,sirage,Boulangerie,Formel,sirage,33.696273,-7.387636,icons/bakery.png
Mohammédia,Boulangerie sans nom,Boulangerie,Formel,Boulangerie sans nom,33.6971685,-7.3890429,icons/bakery.png
Arrondissement de Sidi Belyout,Restaurant Ostrea,Restaurant,Formel,Restaurant Ostrea,33.6018149,-7.614031,icons/restaurant.png
Ancienne Medina,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,33.5992194,-7.6137934,icons/convenience.png
El Hank,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,33.6076996,-7.6555825,icons/restaurant.png
El Hank,Le Cabestan,Restaurant,Formel,Le Cabestan,33.6080257,-7.6553304,icons/restaurant.png
Val d'Anfa,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,33.6014266,-7.6604266,icons/restaurant.png
Val d'Anfa,Lebanese Restaurant,Restaurant,Formel,Lebanese Restaurant,33.6007855,-7.6603997,icons/restaurant.png
Mohammédia,Supermarché EL Alia,Supermarché,Formel,Supermarché EL Alia,33.6896168,-7.3884825,icons/supermarket.png
Mohammédia,Boulangerie Kasbah,Boulangerie,Formel,Boulangerie Kasbah,33.6992164,-7.3889805,icons/bakery.png
Mohammédia,Aswak assalam,Supermarché,Formel,Aswak assalam,33.6882876,-7.4001937,icons/supermarket.png
Mohammédia,Café,Café,Formel,Café,33.6996806,-7.3898974,icons/cafe.png
Arrondissement de Sidi Othmane,Café Domani,Café,Formel,Café Domani,33.5620309,-7.5591609,icons/cafe.png
Arrondissement de Sidi Othmane,Pharmacie Lahraouine صيدلية الهراويين,Parapharmacie,Formel,Pharmacie Lahraouine صيدلية الهراويين,33.5606836,-7.5527375,icons/pharmacy.png
Arrondissement de Sidi Othmane,Pharmacie le Théâtre صيدلية المسرح,Parapharmacie,Formel,Pharmacie le Théâtre صيدلية المسرح,33.5633186,-7.5543957,icons/pharmacy.png
Anfa Supérieur,Café Ghurub الغروب,Café,Formel,Café Ghurub الغروب,33.5936334,-7.6790181,icons/cafe.png
Anfa Supérieur,Luigi,Restaurant,Formel,Luigi,33.5966434,-7.6750589,icons/restaurant.png
Ain Diab,Sijilmassa سجلماسة,Restaurant,Formel,Sijilmassa سجلماسة,33.590847,-7.6793633,icons/restaurant.png
Ain Diab,Nzaha,Café,Formel,Nzaha,33.589095,-7.6818777,icons/cafe.png
Ain Diab,O'palm,Café,Formel,O'palm,33.5886958,-7.6831655,icons/cafe.png
Les Princesses,Caffè Vernagno 1882,Café,Formel,Rue Attabari زنقة الطبري,33.5766221,-7.6481068,icons/cafe.png
Maârif Extension,Caniada,Café,Formel,Caniada,33.5835055,-7.6421257,icons/cafe.png
Maârif Extension,La Grillardière,Restaurant,Formel,Boulevard Bir Anzarane شارع بئر أنزران,33.5832948,-7.6418718,icons/restaurant.png
Maârif Extension,Café Arije,Café,Formel,Café Arije,33.5819086,-7.6432771,icons/cafe.png
Maârif Extension,Café les familles,Café,Formel,Café les familles,33.5819412,-7.6431848,icons/cafe.png
Maârif,ماكدونالدز,Restaurant,Formel,ماكدونالدز,33.5857871,-7.6349089,icons/restaurant.png
Maârif,taher,Boulangerie,Formel,taher,33.5836838,-7.6403528,icons/bakery.png
Maârif,Café le Bateau,Café,Formel,Café le Bateau,33.5798896,-7.6370591,icons/cafe.png
Maârif,Café Espace Mozart,Café,Formel,Café Espace Mozart,33.5801248,-7.6367203,icons/cafe.png
Maârif,pizzeria italian,Restaurant,Formel,pizzeria italian,33.5810317,-7.6370564,icons/restaurant.png
Gauthier,Class'dish,Restaurant,Formel,Class'dish,33.5900333,-7.6303903,icons/restaurant.png
Arrondissement de Sidi Othmane,BIM,Supermarché,Formel,BIM,33.5640326,-7.555968,icons/supermarket.png
Arrondissement de Sidi Belyout,Glacier Oliveri,Café,Formel,Glacier Oliveri,33.5848346,-7.622941,icons/cafe.png
Maârif Extension,Pharmacie des Prêles,Parapharmacie,Formel,Rue Brahim Nakhai,33.5778147,-7.6394176,icons/pharmacy.png
Maârif Extension,Café Agoustine,Café,Formel,Rue Al Ghadfa,33.5785797,-7.6401447,icons/cafe.png
Maârif Extension,Café Caldo,Café,Formel,Rue Al Fourat,33.579835,-7.640015,icons/cafe.png
Maârif Extension,Moumni,Restaurant,Formel,Rue Bussang,33.5806288,-7.6385468,icons/restaurant.png
Maârif Extension,Carrefour Market,Supermarché,Formel,Rue Al Fourate زنقة الفرات,33.5802189,-7.6409084,icons/supermarket.png
Maârif Extension,Pharmacie des Stades صيدلية الملاعب,Parapharmacie,Formel,"Rue Al Fourate زنقة الفرات, Casablanca ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ الدار البيضاء",33.5802204,-7.6404866,icons/pharmacy.png
Maârif Extension,Café Céleste,Café,Formel,"Rue Al Mansour Al Abidi زنقة المنصور العابدي, Casablanca ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ الدار البيضاء",33.5804839,-7.6412073,icons/cafe.png
Maârif Extension,CAP 3000,Café,Formel,"Rue Al Fourate زنقة الفرات, Casablanca ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ الدار البيضاء",33.5806609,-7.6410259,icons/cafe.png
Sour Jdid,Café au Petit 'Maroc مقهى إلى المغرب الصغير,Café,Formel,Café au Petit 'Maroc مقهى إلى المغرب الصغير,33.5978903,-7.6344273,icons/cafe.png
Sour Jdid,Café Bidawa,Café,Formel,Café Bidawa,33.5985843,-7.6326802,icons/cafe.png
Sour Jdid,Pharmacie Moulay Youssef,Parapharmacie,Formel,Pharmacie Moulay Youssef,33.5984096,-7.632475,icons/pharmacy.png
Sour Jdid,BİM,Supermarché,Formel,BİM,33.5972247,-7.6346254,icons/supermarket.png
Sour Jdid,Diwan,Café,Formel,Diwan,33.5916481,-7.6351298,icons/cafe.png
Sour Jdid,Patisserie&Traiteur TAZI,Café,Formel,Patisserie&Traiteur TAZI,33.595696,-7.6301959,icons/cafe.png
Gauthier,Segafredo,Café,Formel,Segafredo,33.5922407,-7.6336602,icons/cafe.png
Gauthier,jardin de Rome,Café,Formel,jardin de Rome,33.5923237,-7.6319383,icons/cafe.png
Gauthier,cup's,Café,Formel,cup's,33.5930431,-7.629063,icons/cafe.png
Maârif,Le Noble,Café,Formel,"Rue Abou Abdellah Nafii, Casablanca ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ الدار البيضاء",33.5860329,-7.6342615,icons/cafe.png
Sour Jdid,Garibaldi,Café,Formel,Garibaldi,33.601513,-7.6330486,icons/cafe.png
Sour Jdid,Pharmacie Tamaârouft,Parapharmacie,Formel,Pharmacie Tamaârouft,33.599213,-7.6354406,icons/pharmacy.png
CIL,Monsieur Brochettes,Restaurant,Formel,Monsieur Brochettes,33.5703274,-7.6663165,icons/restaurant.png
Sour Jdid,Chawarma Nour esham شاورما نور الشام,Restaurant,Formel,Chawarma Nour esham شاورما نور الشام,33.6011445,-7.634303,icons/restaurant.png
Maârif,Venezia Ice,Café,Formel,Venezia Ice,33.5866466,-7.6335102,icons/cafe.png
Californie,ماكدونالدز,Restaurant,Formel,ماكدونالدز,33.544386,-7.6403574,icons/restaurant.png
Arrondissement d'Aïn-Chock,Pizza Hut,Restaurant,Formel,Pizza Hut,33.5443065,-7.6413493,icons/restaurant.png
Sour Jdid,potchi,Restaurant,Formel,Bordeaux,33.5973488,-7.6273398,icons/restaurant.png
راسين,Libre Service Zaki,Supérette / Mini-market,Formel,Rue Michel Ange زنقة ميشبل أنج,33.5917672,-7.6383605,icons/convenience.png
راسين,Meet Up Coffee Pool,Café,Formel,Rue Michel Ange زنقة ميشبل أنج,33.5917023,-7.6383239,icons/cafe.png
راسين,India Palace,Restaurant,Formel,Rue Ahmed El Mokri زنقة أحمد المقري,33.5917889,-7.6391526,icons/restaurant.png
راسين,La Flèche d’Anfa,Café,Formel,Boulevard d'Anfa شارع أنفا,33.5904217,-7.6380902,icons/cafe.png
راسين,Pharmacie Les Iris صيدلية السوسن,Parapharmacie,Formel,Boulevard d'Anfa شارع أنفا,33.5900215,-7.638947,icons/pharmacy.png
Arrondissement d'Aïn-Chock,Petrom بتروم,Café,Formel,Petrom بتروم,33.5093888,-7.6308528,icons/cafe.png
Arrondissement de Sidi Moumen,La Passion,Café,Formel,La Passion,33.6117108,-7.4821246,icons/cafe.png
Sidi Bernoussi,Casa Bianca,Café,Formel,Casa Bianca,33.6144212,-7.4864283,icons/cafe.png
Sidi Bernoussi,Pharmacie Fath El Khair,Parapharmacie,Formel,Pharmacie Fath El Khair,33.6145513,-7.4871759,icons/pharmacy.png
Sidi Bernoussi,Golf Sud,Café,Formel,Golf Sud,33.6142458,-7.48762,icons/cafe.png
Sidi Bernoussi,Le Rital,Café,Formel,Le Rital,33.614251,-7.4876961,icons/cafe.png
Arrondissement de Sidi Moumen,New Town,Café,Formel,New Town,33.6117795,-7.4808035,icons/cafe.png
Arrondissement de Sidi Moumen,Pharmacie Kawnouka,Parapharmacie,Formel,Pharmacie Kawnouka,33.6116931,-7.480976,icons/pharmacy.png
Sour Jdid,BİM,Supermarché,Formel,BİM,33.6014315,-7.6346726,icons/supermarket.png
Sour Jdid,Chez Omar,Restaurant,Formel,Chez Omar,33.5974462,-7.635698,icons/restaurant.png
Sour Jdid,Seven 7 Days,Restaurant,Formel,Boulevard Mohamed Zerktouni,33.5970619,-7.6382193,icons/restaurant.png
راسين,La Toscana,Restaurant,Formel,Rue Abou Yaala Al Ifrani زنقة أبو يلعى الإفراني,33.5885888,-7.6385756,icons/restaurant.png
Arrondissement d'Aïn Sebaâ,Marjane,Supermarché,Formel,Marjane,33.595682,-7.531687,icons/supermarket.png
راسين,Pomme de Pain,Restaurant,Formel,Rue Ibnou Yaala Al Ifrani زنقة إبن يلعى الإفراني,33.588034,-7.6401077,icons/restaurant.png
Sour Jdid,Supermarché,Supermarché,Formel,Boulevard Moulay Youssef,33.601049,-7.632989,icons/supermarket.png
Maârif,KFC,Restaurant,Formel,"Rue El Kadi Iass زنقة القاضي إياس, Casablanca ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ الدار البيضاء",33.5861117,-7.6368073,icons/restaurant.png
Derb Ghallef درب غلف,Café Pasteur,Café,Formel,Café Pasteur,33.5737657,-7.6245966,icons/cafe.png
Derb Ghallef درب غلف,pharmacie Charles Nicole,Parapharmacie,Formel,pharmacie Charles Nicole,33.5740142,-7.6248749,icons/pharmacy.png
Derb Ghallef درب غلف,café Etoile Plazza,Café,Formel,café Etoile Plazza,33.5740365,-7.6250894,icons/cafe.png
Derb Ghallef درب غلف,café Alice,Café,Formel,café Alice,33.5740455,-7.6252611,icons/cafe.png
Derb Ghallef درب غلف,café Gigi,Café,Formel,café Gigi,33.57405,-7.6253952,icons/cafe.png
Les Hôpitaux,Carrefour Market,Supermarché,Formel,Carrefour Market,33.5730326,-7.6198771,icons/supermarket.png
Les Hôpitaux,BİM,Supermarché,Formel,BİM,33.5729969,-7.6201882,icons/supermarket.png
L'Hermitage,café Vesal,Café,Formel,café Vesal,33.5728315,-7.6205101,icons/cafe.png
CIL,Cannelle,Café,Formel,Cannelle,33.572472,-7.6571393,icons/cafe.png
CIL,Araucaria اروكاريا,Parapharmacie,Formel,Araucaria اروكاريا,33.57097,-7.660369,icons/pharmacy.png
CIL,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,33.5727535,-7.6565277,icons/convenience.png
CIL,"Nori, Restaurent Japonais",Restaurant,Formel,"Nori, Restaurent Japonais",33.5731692,-7.6567852,icons/restaurant.png
CIL,O'self,Supermarché,Formel,O'self,33.5733212,-7.6564955,icons/supermarket.png
CIL,Paul,Boulangerie,Formel,Paul,33.5735402,-7.6561522,icons/bakery.png
CIL,Long Champ,Parapharmacie,Formel,Long Champ,33.5727357,-7.6563829,icons/pharmacy.png
CIL,Tropy,Supermarché,Formel,Tropy,33.5737413,-7.6556158,icons/supermarket.png
CIL,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,33.5732318,-7.6555836,icons/convenience.png
CIL,Kenza,Parapharmacie,Formel,Kenza,33.5718686,-7.6533037,icons/pharmacy.png
CIL,BİM,Supermarché,Formel,BİM,33.5708852,-7.6517909,icons/supermarket.png
CIL,Espace Coffee,Café,Formel,Espace Coffee,33.5711177,-7.6517212,icons/cafe.png
Les Hôpitaux,Pharmacie de la sécurité,Parapharmacie,Formel,Avenue Idriss 1er,33.5722341,-7.6226584,icons/pharmacy.png
L'Hermitage,Café Lily White,Café,Formel,Café Lily White,33.5715053,-7.6241079,icons/cafe.png
L'Hermitage,Café Soraya,Café,Formel,Café Soraya,33.5715156,-7.6244653,icons/cafe.png
L'Hermitage,La Brioche Dorée,Café,Formel,La Brioche Dorée,33.5693746,-7.6255745,icons/cafe.png
Ancienne Medina,Gelatino,Café,Formel,Rue Nationale,33.5936482,-7.6162016,icons/cafe.png
Ancienne Medina,Belhaj Fast Food,Restaurant,Formel,Belhaj Fast Food,33.5911922,-7.6260147,icons/restaurant.png
Ancienne Medina,La grotte du pêcheur,Restaurant,Formel,La grotte du pêcheur,33.5918245,-7.6266906,icons/restaurant.png
Ancienne Medina,Nouaima,Café,Formel,Nouaima,33.592001,-7.626468,icons/cafe.png
Ancienne Medina,Keykos,Restaurant,Formel,Keykos,33.5924545,-7.6270366,icons/restaurant.png
Maârif,Snack Bir Anzarane,Restaurant,Formel,Snack Bir Anzarane,33.580546,-7.6372562,icons/restaurant.png
Maârif,Snack Khatib,Restaurant,Formel,Snack Khatib,33.5808187,-7.6376854,icons/restaurant.png
Maârif,Snack Tahiri,Restaurant,Formel,Snack Tahiri,33.5808991,-7.637798,icons/restaurant.png
Maârif,Snack Moumni,Restaurant,Formel,Snack Moumni,33.5809483,-7.6377229,icons/restaurant.png
Maârif,Café Anfa,Café,Formel,Café Anfa,33.5813192,-7.6383988,icons/cafe.png
Maârif,Café O'kfé,Café,Formel,Café O'kfé,33.5816678,-7.6389138,icons/cafe.png
Mers Sultan,Baleno,Restaurant,Formel,Baleno,33.582573,-7.614684,icons/restaurant.png
Maârif,Tex Mex,Restaurant,Formel,Boulevard Al Massira Al Khadra شارع المسيرة الخضراء,33.5876523,-7.6434531,icons/restaurant.png
Sour Jdid,Café Mandela,Café,Formel,Café Mandela,33.6014368,-7.6336494,icons/cafe.png
Gauthier,Cups,Café,Formel,Cups,33.5926384,-7.6295335,icons/cafe.png
Sidi Othmane,Marjonel,Café,Formel,Marjonel,33.5583463,-7.5604482,icons/cafe.png
Sour Jdid,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,33.601239,-7.6360079,icons/restaurant.png
Ancienne Medina,ماكدونالدز,Restaurant,Formel,ماكدونالدز,33.5993306,-7.6126219,icons/restaurant.png
Ancienne Medina,ستاربكس,Café,Formel,ستاربكس,33.5995419,-7.6123798,icons/cafe.png
Assoukhour Assawda,Astoria,Café,Formel,Astoria,33.5941874,-7.5873723,icons/cafe.png
Assoukhour Assawda,Pharmacie Bahmad,Parapharmacie,Formel,Pharmacie Bahmad,33.5946576,-7.586858,icons/pharmacy.png
Arrondissement de Hay Mohammadi,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,33.5938761,-7.581693,icons/restaurant.png
